ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1444144636.18632,0,0,0,0,0,0,0,0,0,0
1444144636.18632,0,0,0,0,0,0,0,0,0,0
1444144636.18632,0,42,0,73,1286,846,733,0,0,0
1444144636.18632,17,139,0,203,5715,3249,2426,221,0,0
1444144697.32389,0,0,0,0,0,0,0,0,0,0
1444144697.32389,0,0,0,0,0,0,0,0,0,0
1444144697.32389,0,44,0,78,1356,1848,744,0,0,0
1444144697.32389,12,204,0,281,11855,12667,6004,1100298,3,0
1444144757.529,0,0,0,0,0,0,0,0,0,0
1444144757.529,0,0,0,0,0,0,0,0,0,0
1444144757.529,0,46,0,78,1431,2850,755,0,0,0
1444144757.529,18,252,0,282,15610,18352,8157,3600310,4,0
1444144817.48524,0,0,0,0,0,0,0,0,0,0
1444144817.48524,0,0,0,0,0,0,0,0,0,0
1444144817.48524,0,48,0,78,1506,3852,766,0,0,0
1444144817.48524,11,292,0,301,19894,24240,10806,11600350,4,0
1444144877.46352,0,0,0,0,0,0,0,0,0,0
1444144877.46352,0,0,0,0,0,0,0,0,0,0
1444144877.46352,0,50,0,78,1581,4854,777,0,0,0
1444144877.46352,7,331,0,306,25029,32967,13763,11600396,7,0
1444144937.43562,0,0,0,0,0,0,0,0,0,0
1444144937.43562,0,0,0,0,0,0,0,0,0,0
1444144937.43562,0,52,0,78,1656,5856,788,0,0,0
1444144937.43562,7,366,0,306,28591,39058,15822,26600402,8,0
1444144997.44229,0,0,0,0,0,0,0,0,0,0
1444144997.44229,0,0,0,0,0,0,0,0,0,0
1444144997.44229,0,54,0,78,1731,6858,799,0,0,0
1444144997.44229,4,388,0,307,32016,45183,17885,26600425,8,0
1444145057.48383,0,0,0,0,0,0,0,0,0,0
1444145057.48383,0,0,0,0,0,0,0,0,0,0
1444145057.48383,0,56,0,78,1806,7860,810,0,0,0
1444145057.48383,4,403,0,307,34674,50804,19442,26600425,8,0
1444145117.45445,0,0,0,0,0,0,0,0,0,0
1444145117.45445,0,0,0,0,0,0,0,0,0,0
1444145117.45445,0,58,0,78,1881,8862,821,0,0,0
1444145117.45445,4,419,0,307,36997,55461,20742,26600425,8,0
1444145177.47741,0,0,0,0,0,0,0,0,0,0
1444145177.47741,0,0,0,0,0,0,0,0,0,0
1444145177.47741,0,60,0,78,1956,9864,832,0,0,0
1444145177.47741,11,461,0,307,40158,60976,22536,86586477,8,0
1444145237.46513,0,0,0,0,0,0,0,0,0,0
1444145237.46513,0,0,0,0,0,0,0,0,0,0
1444145237.46513,0,62,0,78,2031,10866,843,0,0,0
1444145237.46513,12,483,0,307,42889,66331,24173,86586485,10,0
1444145297.50585,0,0,0,0,0,0,0,0,0,0
1444145297.50585,0,0,0,0,0,0,0,0,0,0
1444145297.50585,0,64,0,78,2106,11868,854,0,0,0
1444145297.50585,10,506,0,308,45994,71899,26003,86586497,10,0
1444145357.51677,0,0,0,0,0,0,0,0,0,0
1444145357.51677,0,0,0,0,0,0,0,0,0,0
1444145357.51677,0,66,0,78,2181,12870,865,0,0,0
1444145357.51677,8,523,0,308,48812,77295,27644,86586503,10,0
1444145417.5536,0,0,0,0,0,0,0,0,0,0
1444145417.5536,0,0,0,0,0,0,0,0,0,0
1444145417.5536,0,68,0,78,2256,13872,876,0,0,0
1444145417.5536,5,549,0,308,52154,83107,29677,86586515,10,0
